92.2,7.8,,,,,,,,,,,82.2,96.3,0.9,63.5,37,64.6,38.6,1.74
62.9,0.5,,,36.7,,,,,82.5,,,89,96.1,0.4,69.9,34.6,56.7,44.1,2.31
69.7,21.6,8.8,,,,,,,,,93.6,88.9,97.4,1.3,64.4,42.6,67.3,43.4,2.43
59.5,35.9,,1.5,3.2,,,,,83.9,78.4,,84.8,90.1,1.7,67.2,30,67.8,47.5,2.44
73.5,6.5,,,0.3,19.7,,,88.2,84.7,,,85.6,94.3,1.5,74.1,29.3,77.3,57,2.53
52.3,,28.7,18.9,0.1,,,,,90,84.6,92.8,,95.9,0.5,74.7,29.6,66.2,45.4,2.61
50.1,9,,14.4,26.5,,,,,73.9,73.1,,82.3,86.2,0.4,73.2,15.9,68.4,56.2,3.58
68.7,27.6,,,3.8,,,,,85.7,,,85.2,91.9,2.6,77.6,32.4,69.5,43.5,2.77
61,,20,18.9,,,,,,,84.6,91.8,,95.7,0.1,69.3,29.3,66,47,1.61
67.6,,,32.4,,,,,,,85.8,,,96.8,0.2,61.3,36.4,64.5,49.5,0.76
86.6,7.1,,,6.3,,,,,75.5,,,72.9,85.3,3,83.9,25.2,65.8,49.8,3.81
78.9,19.5,,,1.6,,,,,80.8,,,79.1,86.3,4.9,77.5,35.8,69.2,54.2,2.1
77.3,,,20.6,2.1,,,,,86.9,80.8,,,93.1,1.7,73.5,28.6,58.3,44.3,2.33
46,,5.5,0.3,,48.3,,,81,,70,84.1,,89.2,0.5,66.8,41.8,70.5,50.3,1.29
59.4,9.1,31.5,,0.1,,,,,86,,88.1,85.5,92.2,0.4,76.3,35.2,69.2,45.3,2.56
47.7,21.9,9.4,20.6,0.4,,,,,86.5,75.8,87.7,79.8,92,,70.6,33.7,60.6,44.5,2.44
53,28.6,,,18.4,,,,,86.7,,,82.4,93.3,1.1,79.2,35.9,68.1,45.6,2.97
60.3,21.7,,0.1,0.3,17.5,,,89.4,,85,,82.4,93.6,0.8,67.7,33.6,79.5,56.6,2.02
73.6,24.1,,1.2,1.1,,,,,86,79,,86.8,94.3,0.3,69.8,32.8,69.7,48.2,2.3
55.8,1.9,,6.9,30.8,4.6,,,85.8,85.1,71.4,,86.2,95.2,5.4,56.2,33.8,66.3,53.4,1.05
57.5,39.8,,,,2.6,,,86.8,,,,87.1,96.1,0.1,63.7,34.2,61,44.6,1.43
70.9,,,29.1,,,,,,,85.8,,,96.9,0.6,69.8,33.6,60.7,45.3,1.67
83.2,6,,,5.3,5.4,,,88,86.4,,,87,94.7,5.6,76.6,26.6,70.3,56.2,3.57
85,13.1,,,1.9,,,,,88.5,,,85.6,92,0.6,76.3,37.4,70.9,37.9,3.11
92,8,,,,,,,,,,,83.2,93.3,,66.7,39.8,67.6,53.1,1.48
60.8,31.3,,7.9,,,,,,,80.6,,88.3,93.5,1.9,69.9,29.6,67.1,50.9,2.53
55.7,44.1,,,0.1,,,,,81,,,76.6,89.4,14.7,73.5,16.7,66.4,54.8,2.61
79.1,,,20.9,,,,,,,74.7,,,88.3,1.5,82.4,31.5,61.8,38.8,3.08
65,12.6,,,22.5,,,,,83.5,,,85.7,94,0.5,70.1,38.2,70.3,38.7,1.71
47.3,34.6,,,18,,,,,81.3,,,83,89.3,1.3,74.5,36.7,70.3,38.7,2.87
76.2,22.3,,,1.5,,,,,85,,,84.7,90.7,1.6,74.4,25,64.8,56.4,2.48
44.1,1,54.8,,,,,,,,,93,91.1,93.4,1.2,79.8,27.9,66.3,51.8,2.4
54,,,29.3,16.7,,,,,90.4,80.9,,,95.2,1.7,72.1,32.9,64.2,44.5,2.79
77.6,6.4,,,0.9,15.1,,,86.3,85.9,,,87,94.7,0.8,73.3,23.9,72.1,54.2,2.17
55.1,35.4,,9.5,,,,,,,80.2,,86.4,92.2,1.2,76,33.3,68.7,41.4,2.75
27.1,,56.1,16.7,0.1,,,,,87,81.8,91.8,,92.9,,77.4,41.1,68.2,44.8,1.73
63.5,23.1,,13.2,0.2,,,,,84.5,76.8,,82.7,92.6,0.6,69,32.1,65.7,50.1,2.04
52.6,47.4,,,,,,,,,,,83,96.6,0.3,70.5,30.4,59.8,46.6,1.45
18,,82,,,,,,,,,92.8,,93.1,0.6,76,36.5,63.4,51.3,1.8
74.5,,,6.2,19.3,,,,,89.4,81.2,,,98.1,,75.5,34.4,73.2,42.4,3.37
69.9,29.7,,,0.4,,,,,87.8,,,83,95.7,1.3,67.8,28.4,59.9,48.5,1.63
47.7,51,,1.3,,,,,,,78.4,,80.5,93.3,2.6,66.6,28.7,56.2,47,2.88
68.6,,,31.5,,,,,,,87.2,,,98.3,,59.4,37.4,61.2,47.4,1.18
42.3,57.8,,,,,,,,,,,83.7,94,,65.5,36.2,60.7,45.4,2.34
54.7,43,,,,2.3,,,88,,,,85.7,95.8,,64.8,31.8,58.1,44.1,1.77
39.5,60.6,,,,,,,,,,,83.7,94.5,,64.9,40.5,53.5,46.8,1.1
33.2,,60.1,5.4,1.2,,,,,84.2,80,87.9,,92.7,1,77.4,32.1,60.5,50.4,2.39
85.8,10.1,,,4.1,,,,,82.9,,,81.8,91.4,1.1,77.4,32.4,72.6,61.5,2.69
51.3,22.8,,0.2,20.9,4.8,,,83.9,81.7,75,,82.2,89.1,1.7,85.6,16.3,63.2,52.2,4.26
50.5,17.6,,,31.9,,,,,84.9,,,89,94.7,1,64.4,38.2,72.6,38.7,2.3
48.6,51.4,,,,,,,,,,,83.9,97,0.4,63.1,29.2,55.7,44.8,2.31
75.9,23.9,,0.1,0.2,,,,,85.5,78,,84.5,96.9,0.5,68.7,24.1,70.7,57.3,2.37
88,12.1,,,,,,,,,,,87.8,97.7,,62.2,32.5,65.1,45.1,1.4
62.6,20,,9.8,7.7,,,,,83.5,75.9,,83.8,92.6,,86.5,34.4,54.8,47.4,3.27
55.3,44.2,,,0.5,,,,,79.2,,,79.3,86.7,0.1,69.8,35.5,65.1,45.6,2.29
77.7,21.9,,,0.4,,,,,86.3,,,81.8,94.2,,62.5,33.6,73.6,46.2,1.66
81.2,,,14.1,4.7,,,,,81.7,75.9,,,93.1,0.8,81.1,31.5,68.2,40.6,3.77
76.2,12.7,,0.1,10.2,0.8,,,89,85.3,84,,85.7,93.4,1.9,67.3,23.7,74.6,56.6,1.97
78.3,8.9,,2.2,10.6,,,,,83.2,77.2,,83.1,90.3,0.2,85,38.3,65.2,43.7,2.66
91.3,6.6,,0.8,1.3,,,,,87.5,81.4,,87,94.6,1.3,73.4,26,64.4,49.5,2.3
81.1,15.7,,,3.2,,,,,89.1,,,88.3,100.4,0.1,65.4,32.3,73.1,52.3,1.95
61.1,1.3,,17.8,19.9,,,,,80.8,77.4,,84.3,90,0.1,78.4,33.4,61.9,48.9,2.93
65.5,,0.5,27,7.1,,,,,75.1,77.4,85.3,,92,1.6,77.5,31.7,63.4,47.7,3.06
31.7,,52.4,15.1,0.7,,,,,83.6,77.4,86.2,,90.5,1.7,85.9,32.2,64.2,44,3.18
57.6,32.3,0.3,9.6,0.1,0.1,,,,86,81.2,93.5,87.5,94.8,2.2,69,29.2,62.3,52.4,1.91
75.8,13,,,11,0.3,,,84.3,82.1,,,84.5,90,13.4,75.2,28.7,71.4,48.5,3.11
60.1,35.5,,2.2,2.3,,,,,80.3,78.2,,81,92.4,3,71.7,25.9,62.8,49.6,3.17
45.3,52.1,,,2.6,,,,,67.8,,,83.5,90.3,,75.3,39.6,68.8,54.6,2.7
63.3,29.9,,,6.8,,,,,83.1,,,82.9,90.7,1.2,77.1,17,67.8,57.7,2.98
72.4,8.8,,9.9,8.9,,,,,83.9,69,,79,90.9,1.7,75.1,27,61.7,54.2,2.97
72.6,,,27.4,,,,,,,85.4,,,97.1,,65.4,30.1,69.5,46.3,1.94
70.8,19.9,0.2,7.5,1.7,,,,,83.8,81.3,91,87,93.8,14.9,68.9,25.3,67.4,48.2,2.57
59.6,7.7,,,,32.8,,,84.9,,,,85.4,93.7,1.5,73.9,24.5,66.6,47.1,3.33
67.6,27.9,,0.2,4.4,,,,,83.6,79,,86.9,93.3,0.1,80.1,26,63.7,47.1,3.2
75.5,16.8,,,7.6,,,,,87.9,,,86.7,99.5,0.3,59.5,33.2,67.6,42.3,2.09
68.4,10.2,,,21.5,,,,,86.7,,,82.8,94.4,0.1,75,36.6,71.4,42.8,2.39
10.7,,63.3,25.8,0.2,,,,,85.5,81.1,91,,91.8,,77.3,35.6,65.3,42.8,2.83
