Name,FB%,SL%,CT%,CB%,CH%,SF%,KN%,KNv,SFv,CHv,CBv,CTv,SLv,FBv,XX%,Contact%,O-Swing%,Z-Swing%,Zone%,SIERA,ERA
Blake Treinen,69.7,21.6,8.8,,,,,,,,,93.6,88.9,97.4,1.3,64.4,42.6,67.3,43.4,2.43,0.87
Collin McHugh,47.7,21.9,9.4,20.6,0.4,,,,,86.5,75.8,87.7,79.8,92,,70.6,33.7,60.6,44.5,2.44,1.12
Jared Hughes,85.0,13.1,,,1.9,,,,,88.5,,,85.6,92,0.6,76.3,37.4,70.9,37.9,3.11,1.3
Jeremy Jeffress,54.0,,,29.3,16.7,,,,,90.4,80.9,,,95.2,1.7,72.1,32.9,64.2,44.5,2.79,1.38
Josh Hader,77.7,21.9,,,0.4,,,,,86.3,,,81.8,94.2,,62.5,33.6,73.6,46.2,1.66,1.52
Adam Ottavino,40.6,48.7,9.8,,0.2,0.6,,,90.7,87.5,,86.4,81.3,93.8,1.3,69.4,25.4,56.1,45.8,2.63,1.64
Lou Trivino,53.1,,39.5,6.4,1.0,,,,,88.2,80.9,92.4,,97.6,1.6,71.9,34.8,70.3,44.5,3.5,1.65
Jacob deGrom,51.5,23.5,,8.5,16.5,,,,,88.9,82.6,,90.9,95.7,0.4,71.4,38.3,69.2,44.4,2.89,1.71
Steve Cishek,61.4,38.5,,,0.1,,,,,83,,,77.4,90.3,1.0,73.1,31.1,58.2,40.7,3.29,1.75
T.J. McFarland,72.1,14.1,,,13.7,,,,,83.3,,,80.1,90.6,0.5,83.7,30.9,68.0,34.5,3.58,1.88
Chris Sale,50.4,34.9,,,14.7,,,,,87.1,,,79.9,94.9,,67.0,36.5,62.9,44.6,2.27,1.97
Yoshihisa Hirano,54.7,,,,,45.3,,,83.1,,,,,91.3,0.8,76.3,31.5,70.7,40.1,3.86,2.05
Edwin Diaz,61.9,37.9,,,0.2,,,,,93,,,89,97.3,0.1,62.1,37.2,68.8,44.6,1.43,2.07
Blake Snell,53.8,10.3,,17.6,18.4,,,,,87.8,81.2,,87.9,95.6,0.3,70.0,31.7,66.3,38.9,3.66,2.1
Reyes Moronta,52.4,36.0,,11.4,0.2,,,,,87,80.2,,83.2,96.8,1.1,66.9,28.4,59.1,41.7,3.81,2.1
Max Scherzer,50.5,16.2,10.0,7.6,15.7,,,,,83.9,78.6,88.6,85.3,94.4,0.4,69.0,36.0,70.5,47.5,2.71,2.11
Kenley Jansen,93.6,6.4,,,,,,,,,,,82.8,92.3,0.5,74.7,35.4,71.1,47.3,3,2.15
Tony Watson,51.7,19.0,,,29.3,,,,,85.3,,,83.9,92.2,0.5,76.8,36.3,67.6,45.9,3.09,2.19
Trevor Bauer,42.6,14.2,9.7,26.9,6.7,,,,,87.1,79.2,87.1,82.3,94.6,0.2,70.9,31.5,63.1,41.8,3.19,2.22
Aaron Nola,49.9,,,29.2,21.0,,,,,84.6,77.9,,,92.3,0.2,75.0,33.0,64.9,44.2,3.55,2.24
Dereck Rodriguez,52.7,11.6,,20.1,15.7,,,,,84.6,75.3,,86,91.7,0.3,81.3,30.6,63.6,43.2,4.11,2.25
Dellin Betances,48.6,32.8,,18.4,0.1,,,,,90,87,,84.1,97.9,0.5,64.7,32.4,55.0,41.7,1.9,2.28
Raisel Iglesias,51.1,26.4,,,22.6,,,,,87.4,,,84.9,95.1,0.5,68.0,35.0,66.8,45.2,3.08,2.29
