,0,1,2,3
0,Blake Treinen,0.87,2.43,1.1583984
1,Collin McHugh,1.12,2.44,2.759366
2,Jared Hughes,1.3,3.11,3.2749352
3,Jeremy Jeffress,1.38,2.79,3.1966531
4,Josh Hader,1.52,1.66,2.1425054
5,Adam Ottavino,1.64,2.63,2.7689126
6,Lou Trivino,1.65,3.5,3.2152767
7,Jacob deGrom,1.71,2.89,2.7373147
8,Steve Cishek,1.75,3.29,3.26146
9,T.J. McFarland,1.88,3.58,4.285724
10,Chris Sale,1.97,2.27,2.442154
11,Yoshihisa Hirano,2.05,3.86,3.9093583
12,Edwin Diaz,2.07,1.43,2.056645
13,Blake Snell,2.1,3.66,3.3097293
14,Reyes Moronta,2.1,3.81,2.6442044
15,Max Scherzer,2.11,2.71,2.5943465
16,Kenley Jansen,2.15,3,2.0859025
17,Tony Watson,2.19,3.09,3.308949
18,Trevor Bauer,2.22,3.19,3.207316
19,Aaron Nola,2.24,3.55,3.669147
20,Dereck Rodriguez,2.25,4.11,4.0864034
21,Dellin Betances,2.28,1.9,2.3350072
22,Raisel Iglesias,2.29,3.08,2.6278286
23,Clayton Kershaw,2.4,3.26,3.7541587
24,Jose Alvarado,2.44,3.61,2.6160717
25,Clay Buchholz,2.47,4.08,3.8783865
26,Craig Kimbrel,2.47,2.62,2.6220362
27,Pedro Strop,2.47,3.62,3.418425
28,Seung Hwan Oh,2.54,3.25,3.0884023
29,Dylan Floro,2.55,3.72,3.7004147
30,Edwin Jackson,2.58,4.72,4.6480293
31,Ross Stripling,2.62,3.06,3.5294313
32,Justin Verlander,2.65,2.76,2.893898
33,Dan Winkler,2.66,2.76,2.953773
34,Matt Barnes,2.67,2.68,2.585908
35,Corey Kluber,2.68,3.32,3.5938542
36,Brad Hand,2.68,2.49,2.7740602
37,Carlos Rodon,2.69,4.62,4.4482203
38,Gerrit Cole,2.71,2.86,3.227001
39,Mike Foltynewicz,2.72,3.69,3.622287
40,Hector Velazquez,2.74,4.59,4.6837335
41,Craig Stammen,2.74,2.66,2.3383322
42,Chad Green,2.75,2.81,3.1895177
43,Jose Alvarez,2.75,3.87,3.6678376
44,Edgar Santana,2.77,3.26,3.4781075
45,Felipe Vazquez,2.77,2.84,2.987999
46,Miles Mikolas,2.8,4.02,3.8453605
47,Sam Dyson,2.84,3.46,3.84633
48,Charlie Morton,2.85,3.45,3.0398896
49,Michael Lorenzen,2.86,4.77,4.3768935
50,Seth Lugo,2.89,3.7,3.887783
51,Kyle Freeland,2.96,4.4,4.4968624
52,Jeurys Familia,2.96,3.3,2.5402057
53,Jack Flaherty,3.05,3.38,3.4012208
54,Madison Bumgarner,3.05,4.58,3.8073761
55,Jesse Chavez,3.05,3.21,3.5291636
56,Zack Greinke,3.06,3.41,3.4162931
57,Richard Rodriguez,3.06,3.09,2.855814
58,Dan Jennings,3.1,3.91,3.7795947
59,David Robertson,3.11,2.83,3.4399474
60,Trevor Cahill,3.12,3.54,3.3788118
61,Anibal Sanchez,3.13,3.8,4.2405863
62,Shane Carle,3.15,4.42,3.745717
63,Jordan Hicks,3.18,4.1,3.6741505
64,Jonathan Holder,3.18,3.74,4.254437
65,Patrick Corbin,3.18,2.91,2.9278264
66,Brad Peacock,3.19,2.17,2.9293983
67,Walker Buehler,3.19,3.35,3.7843242
68,Michael Wacha,3.2,4.59,4.35294
69,Blake Parker,3.21,3.38,3.2337697
70,Ryan Pressly,3.21,2.51,1.863739
71,Johnny Cueto,3.23,4.46,4.759346
72,A.J. Minter,3.24,3.22,2.8239567
73,Jake Arrieta,3.25,4.32,3.8704262
74,Mike Clevinger,3.25,4.01,3.8036232
75,Luis Severino,3.28,3.29,3.2543607
76,Joe Musgrove,3.31,4.16,3.3440497
77,Alex Colome,3.31,3.42,3.2975707
78,CC Sabathia,3.32,4.31,4.1509404
79,Brad Keller,3.32,4.62,4.186301
80,Carlos Carrasco,3.33,3.15,3.2033439
81,Robbie Erlin,3.33,3.35,3.7429829
82,Cam Bedrosian,3.33,4,3.502204
83,Mike Fiers,3.38,4.36,4.30963
84,Archie Bradley,3.39,3.2,2.9776273
85,Drew Steckenrider,3.4,3.43,3.8733108
86,Noah Syndergaard,3.4,3.34,2.8727655
87,Carlos Martinez,3.41,4.46,3.6968944
88,Jaime Barria,3.41,4.45,4.157504
89,Eduardo Rodriguez,3.44,3.8,3.64447
90,Yusmeiro Petit,3.46,3.79,4.154668
91,Sergio Romo,3.48,3.27,3.4625092
92,Kyle Gibson,3.51,4.21,4.0041294
93,Alex Wood,3.51,3.87,3.8758118
94,Taylor Rogers,3.51,2.83,3.025162
95,Trevor Williams,3.53,4.97,4.6832914
96,Kevin McCarthy,3.54,3.67,3.5203352
97,Jeremy Hellickson,3.57,4.26,4.0040107
98,Jameson Taillon,3.58,3.9,3.4465475
99,Jhoulys Chacin,3.58,4.57,4.672088
100,Dallas Keuchel,3.59,4.03,4.156272
101,Adam Cimber,3.6,3.06,2.8023696
102,Nathan Eovaldi,3.62,3.77,3.829826
103,Mike Montgomery,3.62,4.59,3.7870293
104,Tyler Clippard,3.63,3.52,3.4004178
105,Joe Jimenez,3.63,3.36,3.767104
106,Garrett Richards,3.66,3.87,3.942804
107,James Paxton,3.68,3.05,2.53612
108,David Price,3.69,3.84,4.055162
109,Zach Eflin,3.7,3.88,3.9787323
110,Sean Manaea,3.7,4.4,3.727293
111,Emilio Pagan,3.71,3.82,3.618015
112,Scott Alexander,3.72,3.29,3.7514794
113,Jon Lester,3.72,4.68,4.4427176
114,Rich Hill,3.73,3.98,4.0457563
115,Sean Newcomb,3.73,4.62,4.4009967
116,Junior Guerra,3.73,4.4,3.977326
117,Frankie Montas,3.75,4.84,4.0591536
118,Zack Wheeler,3.75,3.99,3.899597
119,Miguel Castro,3.75,5.28,4.702534
120,Jose Berrios,3.75,3.77,3.4639947
121,Heath Hembree,3.75,3.35,3.2514458
122,John Gant,3.76,4.57,3.9317715
123,Tyler Skaggs,3.78,3.68,3.6183898
124,Robert Gsellman,3.78,3.96,4.1555586
125,Joey Lucchesi,3.79,3.82,3.7110353
126,Derek Holland,3.83,4.05,3.966193
127,J.A. Happ,3.84,3.61,3.835108
128,Kenta Maeda,3.85,3.59,3.2846313
129,Shane Greene,3.86,3.44,3.5849342
130,Mike Leake,3.9,4.44,4.303244
131,Stephen Strasburg,3.9,3.18,3.4005644
132,Brett Anderson,3.9,4.55,4.6674213
133,Blaine Hardy,3.91,4.42,4.316836
134,Marco Gonzales,3.91,3.78,3.7844932
135,Lance McCullers Jr.,3.93,3.68,3.4672515
136,Ryan Tepera,3.93,3.47,3.8027997
137,Yonny Chirinos,3.96,4.13,3.9275017
138,Chase Anderson,3.97,4.76,4.209506
139,Cody Allen,3.98,3.48,3.2439716
140,Brian Johnson,4,4.18,3.9791095
141,Cole Hamels,4,4,3.6034765
142,Ryan Yarbrough,4.01,4.09,3.9372163
143,Masahiro Tanaka,4.03,3.57,3.4343948
144,Rick Porcello,4.04,3.7,4.0592766
145,Wade LeBlanc,4.04,4.24,4.2069063
146,Brian Flynn,4.06,4.92,4.3348103
147,Matt Andriese,4.08,3.38,3.9830027
148,Tyler Glasnow,4.1,3.49,3.2886853
149,Kyle Hendricks,4.11,4.01,3.5320807
150,Andrew Heaney,4.11,3.89,3.846344
151,Anthony DeSclafani,4.12,4.12,4.13907
152,Vince Velasquez,4.13,3.94,3.5377066
153,Tanner Roark,4.13,4.39,4.5075045
154,Brad Ziegler,4.14,3.12,3.4067183
155,Tyson Ross,4.18,4.6,4.164438
156,Caleb Smith,4.19,4.07,4.0364923
157,Amir Garrett,4.2,3.28,3.0380862
158,Joe Kelly,4.21,4.03,4.008006
159,Kevin Gausman,4.22,4.17,3.7239845
160,Julio Teheran,4.24,4.67,4.223194
161,Ivan Nova,4.26,4.44,4.1874914
162,Matt Boyd,4.27,4.33,4.1979537
163,Ryan Borucki,4.27,5.08,4.288585
164,Matt Koch,4.28,5.04,4.8094997
165,Trevor Richards,4.28,4.46,4.345323
166,Jose Quintana,4.36,4.63,4.2355003
167,Jordan Zimmermann,4.36,4.09,3.8919802
168,Shane Bieber,4.37,3.59,3.3087454
169,James Shields,4.39,4.85,4.068
170,Tyler Anderson,4.39,4.27,3.7532883
171,Ty Blach,4.4,4.57,4.6620865
172,German Marquez,4.42,3.78,3.6212256
173,Zack Godley,4.44,4.1,3.760712
174,Brent Suter,4.44,4.12,3.7753236
175,Daniel Mengden,4.47,4.78,4.4542727
176,Antonio Senzatela,4.47,4.64,4.793996
177,Buck Farmer,4.47,4.63,4.1639624
178,Trevor Hildenberger,4.48,3.66,3.4252858
179,Freddy Peralta,4.48,4.1,3.4930096
180,Chris Archer,4.49,3.8,3.739123
181,Doug Fister,4.5,4.67,4.7281895
182,Jose Urena,4.5,4.18,4.673029
183,Michael Fulmer,4.5,4.39,3.696992
184,Gio Gonzalez,4.51,4.74,4.6265774
185,Aaron Sanchez,4.52,5.05,4.17098
186,Jake Odorizzi,4.55,4.32,4.3578587
187,Chad Kuhl,4.55,4.37,4.2499466
188,Steven Matz,4.6,4.31,4.2120366
189,Dan Straily,4.6,4.98,4.5148277
190,Mike Minor,4.61,4.28,4.0425086
191,Jordan Lyles,4.66,4.05,3.8816357
192,Nick Pivetta,4.66,3.23,3.2108192
193,Luke Weaver,4.67,4.37,4.2422705
194,Andrew Suarez,4.68,3.91,4.352342
195,Lance Lynn,4.68,4.51,4.5568504
196,Fernando Romero,4.69,4.49,4.2017474
197,Andrew Cashner,4.71,5.06,4.7805963
198,Francisco Liriano,4.72,5.35,4.719419
199,Noe Ramirez,4.72,3.4,4.155712
200,Reynaldo Lopez,4.72,5.26,4.729564
201,Mychal Givens,4.73,3.75,3.6244586
202,Nick Tropeano,4.74,4.68,4.627047
203,Jon Gray,4.76,3.32,3.2438369
204,Jakob Junis,4.76,4.09,3.9578354
205,Hector Santiago,4.78,4.77,4.810409
206,Alex Claudio,4.78,3.41,2.6439857
207,Austin Pruitt,4.8,4.24,4.1781154
208,Jake Faria,4.84,5.11,4.8548317
209,Luis Castillo,4.86,3.94,3.3176422
210,Marco Estrada,4.87,5.18,4.5321493
211,Danny Duffy,4.9,4.76,4.3660808
212,Robbie Ray,4.91,3.95,3.7286944
213,Matt Harvey,4.91,4.45,4.555067
214,Brandon McCarthy,4.92,4.1,3.837018
215,Steven Brault,4.93,5.18,4.5173416
216,Tyler Mahle,4.95,4.56,3.977989
217,Wade Davis,4.99,3.71,4.080687
218,Dylan Bundy,4.99,3.98,3.4234886
219,Nick Kingham,5.02,4.22,3.8384223
220,Jarlin Garcia,5.03,4.99,4.950449
221,Elieser Hernandez,5.08,5.24,4.7461023
222,Alex Cobb,5.09,4.54,4.497013
223,Clayton Richard,5.11,4.48,4.245658
224,Sam Gaviglio,5.13,4.08,4.4340816
225,Ian Kennedy,5.13,4.52,4.1707177
226,John Axford,5.13,3.63,3.860478
227,Mike Wright,5.17,4.43,4.2479944
228,Bartolo Colon,5.19,4.78,4.602344
229,Wei-Yin Chen,5.2,4.93,4.631183
230,Tyler Chatwood,5.22,6.24,4.93774
231,Marcus Stroman,5.27,4.03,4.101767
232,Eric Lauer,5.3,4.74,4.0315323
233,Sal Romano,5.31,4.9,4.329462
234,Sonny Gray,5.34,4.4,4.071619
235,Chad Bettis,5.42,4.92,4.6116924
236,Chris Stratton,5.52,4.8,4.3762817
237,Felix Hernandez,5.62,4.69,4.76071
238,Domingo German,5.68,3.77,2.9276466
239,Dylan Covey,5.87,4.73,4.7879143
240,David Hess,5.95,5.6,5.0040946
241,Jaime Garcia,5.96,4.78,4.749382
242,Jason Hammel,5.99,4.91,4.0486875
243,Yovani Gallardo,6.06,5.44,4.8893366
244,Joe Biagini,6.1,4.28,4.0789595
245,Lucas Giolito,6.15,5.58,4.5860677
246,Homer Bailey,6.33,4.98,4.2111516
247,Drew Pomeranz,6.34,5.46,4.8420906
248,Burch Smith,6.54,4.44,4.1742754
249,Martin Perez,6.93,5.1,4.731153
250,Matt Moore,6.99,4.8,3.7653344
251,Jason Vargas,7.67,4.87,4.0245686
